Date,Bus Boardings,Rail Boardings,Total Number of Boardings,Bike Rental Date,Total Number of Daily Rides
1/18/18,"788,150","720,369","1,508,519",1/18/18,4137
1/19/18,"784,287","701,290","1,485,577",1/19/18,4753
1/20/18,"438,286","449,322","887,608",1/20/18,3951
1/21/18,"316,648","259,818","576,466",1/21/18,2831
1/22/18,"781,955","711,848","1,493,803",1/22/18,4919
1/23/18,"795,146","733,662","1,528,808",1/23/18,4142
1/24/18,"808,026","732,420","1,540,446",1/24/18,4914
1/25/18,"813,348","743,858","1,557,206",1/25/18,5939
1/26/18,"806,770","722,671","1,529,441",1/26/18,6707
1/27/18,"455,974","384,419","840,393",1/27/18,5150
1/28/18,"320,779","268,995","589,774",1/28/18,2971
1/29/18,"774,310","699,889","1,474,199",1/29/18,4351
1/30/18,"801,986","723,334","1,525,320",1/30/18,4933
1/31/18,"815,252","729,419","1,544,671",1/31/18,5816
2/1/18,"824,632","724,399","1,549,031",2/1/18,4425
2/2/18,"706,351","657,689","1,364,040",2/2/18,3347
2/3/18,"435,554","344,309","779,863",2/3/18,2090
2/4/18,"279,353","232,906","512,259",2/4/18,658
2/5/18,"734,272","675,368","1,409,640",2/5/18,2129
2/6/18,"783,522","708,071","1,491,593",2/6/18,2862
2/7/18,"790,600","714,000","1,504,600",2/7/18,2834
2/8/18,"782,384","727,764","1,510,148",2/8/18,3206
2/9/18,"480,347","490,054","970,401",2/9/18,696
2/10/18,"399,759","351,548","751,307",2/10/18,842
2/11/18,"294,675","260,148","554,823",2/11/18,672
2/12/18,"771,383","692,183","1,463,566",2/12/18,2684
2/13/18,"832,686","743,502","1,576,188",2/13/18,3756
2/14/18,"846,174","756,475","1,602,649",2/14/18,4617
2/15/18,"819,948","746,521","1,566,469",2/15/18,5297
2/16/18,"803,410","725,091","1,528,501",2/16/18,5012
2/17/18,"438,472","383,764","822,236",2/17/18,1958
2/18/18,"345,438","299,983","645,421",2/18/18,2241
2/19/18,"569,983","523,621","1,093,604",2/19/18,3027
2/20/18,"786,356","718,493","1,504,849",2/20/18,3070
2/21/18,"831,241","740,388","1,571,629",2/21/18,5165
2/22/18,"833,819","743,449","1,577,268",2/22/18,5717
2/23/18,"820,477","720,769","1,541,246",2/23/18,5526
2/24/18,"461,537","387,230","848,767",2/24/18,2996
2/25/18,"347,690","292,093","639,783",2/25/18,3584
2/26/18,"825,842","718,649","1,544,491",2/26/18,7699
2/27/18,"846,696","743,269","1,589,965",2/27/18,9309
2/28/18,"837,820","736,868","1,574,688",2/28/18,7531
3/1/18,"807,973","724,095","1,532,068",3/1/18,3991
3/2/18,"838,965","719,445","1,558,410",3/2/18,6496
3/3/18,"489,631","400,158","889,789",3/3/18,4480
3/4/18,"360,783","288,394","649,177",3/4/18,4333
3/5/18,"793,241","686,228","1,479,469",3/5/18,5108
3/6/18,"818,087","723,274","1,541,361",3/6/18,5372
3/7/18,"829,608","731,992","1,561,600",3/7/18,5524
3/8/18,"813,217","734,447","1,547,664",3/8/18,5616
3/9/18,"806,152","712,092","1,518,244",3/9/18,5990
3/10/18,"471,143","394,014","865,157",3/10/18,4159
3/11/18,"339,755","286,948","626,703",3/11/18,3387
3/12/18,"798,061","715,220","1,513,281",3/12/18,6685
3/13/18,"808,848","731,938","1,540,786",3/13/18,5559
3/14/18,"834,401","747,391","1,581,792",3/14/18,6977
3/15/18,"829,652","754,110","1,583,762",3/15/18,7255
3/16/18,"808,945","738,857","1,547,802",3/16/18,6290
3/17/18,"471,682","607,823","1,079,505",3/17/18,3937
3/18/18,"361,391","320,742","682,133",3/18/18,6842
3/19/18,"807,848","709,194","1,517,042",3/19/18,6779
3/20/18,"808,168","710,058","1,518,226",3/20/18,5878
3/21/18,"815,911","715,243","1,531,154",3/21/18,6088
3/22/18,"807,829","722,634","1,530,463",3/22/18,6901
3/23/18,"789,868","699,928","1,489,796",3/23/18,6597
3/24/18,"424,609","389,468","814,077",3/24/18,3129
3/25/18,"331,496","306,710","638,206",3/25/18,3407
3/26/18,"685,230","660,176","1,345,406",3/26/18,6575
3/27/18,"688,138","684,664","1,372,802",3/27/18,6221
3/28/18,"719,691","695,373","1,415,064",3/28/18,7936
3/29/18,"692,129","686,014","1,378,143",3/29/18,6273
3/30/18,"672,341","608,535","1,280,876",3/30/18,6580
3/31/18,"428,294","349,132","777,426",3/31/18,4124
