ID,Date,Bus Boardings,Rail Boardings,Total Number of Boardings
6472,7/21/18,"469,280","483,657","952,937"
6473,7/22/18,"339,813","357,484","697,297"
6474,7/23/18,"742,296","746,950","1,489,246"
6475,7/24/18,"766,503","775,343","1,541,846"
6476,7/25/18,"763,505","768,014","1,531,519"
6477,7/26/18,"758,033","781,151","1,539,184"
6478,7/27/18,"729,506","741,794","1,471,300"
6479,7/28/18,"484,064","453,186","937,250"
6480,7/29/18,"374,591","354,824","729,415"
6481,7/30/18,"718,899","721,661","1,440,560"
6482,7/31/18,"733,107","729,861","1,462,968"
6483,8/1/18,"778,530","757,280","1,535,810"
6484,8/2/18,"743,458","861,954","1,605,412"
6485,8/3/18,"765,341","831,628","1,596,969"
6486,8/4/18,"480,664","521,622","1,002,286"
6487,8/5/18,"368,543","423,810","792,353"
6488,8/6/18,"688,147","687,412","1,375,559"
6489,8/7/18,"710,000","702,495","1,412,495"
6490,8/8/18,"737,497","726,837","1,464,334"
6491,8/9/18,"725,134","727,089","1,452,223"
6492,8/10/18,"728,844","757,214","1,486,058"
6493,8/11/18,"498,035","485,775","983,810"
6494,8/12/18,"372,421","371,962","744,383"
6495,8/13/18,"705,028","681,926","1,386,954"
6496,8/14/18,"722,447","739,143","1,461,590"
6497,8/15/18,"710,743","720,004","1,430,747"
6498,8/16/18,"720,279","712,077","1,432,356"
6499,8/17/18,"702,584","697,625","1,400,209"
6500,8/18/18,"493,509","469,340","962,849"
6501,8/19/18,"380,140","357,318","737,458"
6502,8/20/18,"668,029","672,736","1,340,765"
6503,8/21/18,"714,668","705,759","1,420,427"
6504,8/22/18,"747,818","711,067","1,458,885"
6505,8/23/18,"751,380","748,147","1,499,527"
6506,8/24/18,"692,290","698,828","1,391,118"
6507,8/25/18,"472,537","437,488","910,025"
6508,8/26/18,"358,918","344,736","703,654"
6509,8/27/18,"751,100","740,835","1,491,935"
6510,8/28/18,"751,236","764,285","1,515,521"
6511,8/29/18,"752,668","767,691","1,520,359"
6512,8/30/18,"776,906","780,357","1,557,263"
6513,8/31/18,"773,345","726,643","1,499,988"
6514,9/1/18,"457,556","415,563","873,119"
6515,9/2/18,"393,446","368,715","762,161"
6516,9/3/18,"330,488","293,772","624,260"
6517,9/4/18,"864,262","756,397","1,620,659"
6518,9/5/18,"854,763","785,143","1,639,906"
6519,9/6/18,"819,596","786,139","1,605,735"
6520,9/7/18,"814,560","796,057","1,610,617"
6521,9/8/18,"486,855","460,892","947,747"
6522,9/9/18,"361,946","329,445","691,391"
6523,9/10/18,"844,530","792,245","1,636,775"
6524,9/11/18,"861,007","818,737","1,679,744"
6525,9/12/18,"865,443","835,997","1,701,440"
6526,9/13/18,"851,071","821,484","1,672,555"
6527,9/14/18,"841,332","833,730","1,675,062"
6528,9/15/18,"498,240","505,429","1,003,669"
6529,9/16/18,"375,988","375,547","751,535"
6530,9/17/18,"839,178","794,968","1,634,146"
6531,9/18/18,"846,003","796,654","1,642,657"
6532,9/19/18,"844,257","786,851","1,631,108"
6533,9/20/18,"840,571","812,664","1,653,235"
6534,9/21/18,"829,287","806,274","1,635,561"
6535,9/22/18,"497,023","464,531","961,554"
6536,9/23/18,"373,382","331,323","704,705"
6537,9/24/18,"829,917","806,181","1,636,098"
6538,9/25/18,"843,206","813,982","1,657,188"
6539,9/26/18,"868,419","838,474","1,706,893"
6540,9/27/18,"858,664","847,133","1,705,797"
6541,9/28/18,"824,823","816,264","1,641,087"
6542,9/29/18,"492,591","500,479","993,070"
6543,9/30/18,"365,436","362,732","728,168"
